欄位名稱,資料型態,非空值數量,缺失值數量,缺失值比例,唯一值數量
ResponseID,object,"11,286,141",0,0.00%,"5,836,521"
ExtendedSessionID,object,"11,286,141",0,0.00%,"492,845"
UserID,float64,"11,286,141",0,0.00%,"463,675"
ScenarioOrder,int64,"11,286,141",0,0.00%,13
Intervention,int64,"11,286,141",0,0.00%,2
PedPed,int64,"11,286,141",0,0.00%,2
Barrier,int64,"11,286,141",0,0.00%,2
CrossingSignal,int64,"11,286,141",0,0.00%,3
AttributeLevel,object,"11,286,141",0,0.00%,13
ScenarioTypeStrict,object,"11,286,141",0,0.00%,7
ScenarioType,object,"11,286,141",0,0.00%,7
DefaultChoice,object,"10,084,327","1,201,814",10.65%,6
NonDefaultChoice,object,"10,084,327","1,201,814",10.65%,6
DefaultChoiceIsOmission,float64,"10,084,327","1,201,814",10.65%,2
NumberOfCharacters,int64,"11,286,141",0,0.00%,5
DiffNumberOFCharacters,int64,"11,286,141",0,0.00%,5
Saved,int64,"11,286,141",0,0.00%,2
Template,object,"11,285,743",398,0.00%,2
DescriptionShown,float64,"11,285,743",398,0.00%,2
LeftHand,float64,"11,285,743",398,0.00%,2
UserCountry3,object,"11,244,500","41,641",0.37%,215
Review_age,float64,"9,926,111","1,360,030",12.05%,"1,120"
Review_education,object,"11,286,141",0,0.00%,8
Review_gender,object,"11,286,051",90,0.00%,5
Review_income,object,"11,286,141",0,0.00%,11
Review_political,float64,"11,286,141",0,0.00%,101
Review_religious,float64,"11,286,141",0,0.00%,103
