Country,KMeans_Cluster,Original_Cluster
AFG,3,0
AGO,2,0
ALB,3,0
AND,3,1
ARE,2,1
ARG,1,2
ARM,2,1
AUS,3,0
AUT,3,0
AZE,1,2
BEL,3,0
BGD,2,0
BGR,4,0
BHR,2,1
BHS,5,2
BIH,3,0
BLR,3,0
BOL,1,2
BRA,1,0
BRB,3,0
BRN,0,1
CAN,3,0
CHE,3,0
CHL,1,2
CHN,0,1
COL,1,2
CRI,1,2
CYP,3,0
CZE,4,2
DEU,3,0
DNK,3,0
DOM,4,2
DZA,2,2
ECU,1,2
EGY,2,1
ESP,3,0
EST,3,0
FIN,3,0
FRA,4,2
GBR,3,0
GEO,3,0
GGY,4,2
GRC,3,0
GTM,1,2
GUM,4,0
HKG,0,1
HND,1,2
HRV,3,0
HUN,4,2
IDN,2,1
IMN,5,0
IND,2,1
IRL,3,0
IRN,2,1
IRQ,2,0
ISL,3,0
ISR,2,0
ITA,4,0
JAM,4,0
JEY,3,0
JOR,2,1
JPN,0,1
KAZ,3,0
KEN,5,0
KGZ,3,0
KHM,0,1
KOR,0,1
KWT,2,1
LBN,2,1
LKA,3,0
LTU,4,0
LUX,3,0
LVA,3,0
MAC,0,1
MAR,5,2
MCO,0,0
MDA,3,0
MDG,0,0
MDV,5,2
MEX,1,2
MKD,2,1
MLT,4,2
MMR,3,0
MNE,3,0
MNG,4,2
MTQ,5,2
MUS,2,1
MYS,0,1
NCL,4,2
NGA,5,0
NIC,1,0
NLD,3,0
NOR,3,0
NPL,2,1
NZL,3,0
OMN,2,1
PAK,2,1
PAN,1,2
PER,1,2
PHL,2,2
POL,3,0
PRI,1,2
PRT,3,0
PRY,1,2
PSE,2,1
PYF,4,2
QAT,3,0
REU,4,2
ROU,3,0
RUS,3,0
SAU,2,1
SGP,3,0
SLV,1,2
SRB,3,0
SVK,4,2
SVN,3,0
SWE,3,0
SYR,3,0
THA,0,1
TTO,1,0
TUN,3,0
TUR,1,2
TWN,0,1
UKR,3,0
URY,1,2
USA,3,0
UZB,5,0
VEN,1,2
VNM,1,0
ZAF,4,0
