country,lawful_rate,cluster,n_responses,rank
AFG,0.5,0,2,Top 10
AND,0.5,1,6,Top 10
MDG,0.5,0,2,Top 10
LKA,0.375,0,32,Top 10
MDV,0.375,2,8,Top 10
SLV,0.375,2,32,Top 10
BRN,0.35714285714285715,1,14,Top 10
KGZ,0.3333333333333333,0,24,Top 10
GEO,0.325,0,40,Top 10
MAC,0.3076923076923077,1,26,Top 10
MCO,0.0,0,2,Bottom 10
MMR,0.0,0,10,Bottom 10
BHS,0.0625,2,16,Bottom 10
GUM,0.08333333333333333,0,12,Bottom 10
TTO,0.1111111111111111,0,36,Bottom 10
IMN,0.125,0,8,Bottom 10
NGA,0.125,0,8,Bottom 10
PYF,0.13636363636363635,2,22,Bottom 10
MTQ,0.14285714285714285,2,14,Bottom 10
DOM,0.15217391304347827,2,46,Bottom 10
