Country,tSNE1,tSNE2,Original_Cluster,Cluster_Name
AFG,-0.21310662,-0.63204306,0,Western
AGO,-0.4766906,-2.8560236,0,Western
ALB,-1.1150414,2.7663624,0,Western
AND,-6.1742578,1.6289145,1,Eastern
ARE,-2.457238,-2.8768795,1,Eastern
ARG,5.158309,-1.3937538,2,Southern
ARM,-4.968171,-2.9349291,1,Eastern
AUS,0.2275287,2.083859,0,Western
AUT,-3.7573204,2.6687112,0,Western
AZE,6.5220113,0.03407265,2,Southern
BEL,-2.7929866,3.9983778,0,Western
BGD,1.1760454,-2.3144262,0,Western
BGR,0.8268533,4.083613,0,Western
BHR,-1.3244443,-4.426195,1,Eastern
BHS,1.4998137,7.043202,2,Southern
BIH,-1.6425949,3.855815,0,Western
BLR,-2.895572,-0.582776,0,Western
BOL,6.6818643,-0.98020715,2,Southern
BRA,4.693968,-3.3153372,0,Western
BRB,1.6283249,1.1109252,0,Western
BRN,-1.5986873,-7.272751,1,Eastern
CAN,0.6159622,2.5983977,0,Western
CHE,-4.2978325,1.8849772,0,Western
CHL,4.2058144,-1.564796,2,Southern
CHN,-3.2580142,-6.3571935,1,Eastern
COL,6.7684736,-1.4762561,2,Southern
CRI,4.5286336,-0.20311594,2,Southern
CYP,-2.1247637,1.586353,0,Western
CZE,1.6614568,4.829521,2,Southern
DEU,-3.8616893,2.010209,0,Western
DNK,-4.244745,2.1115649,0,Western
DOM,2.2377756,5.323962,2,Southern
DZA,-0.4386107,5.413042,2,Southern
ECU,6.23441,-1.5577056,2,Southern
EGY,-3.06855,-3.4193282,1,Eastern
ESP,-1.8251472,4.5128436,0,Western
EST,-1.4295894,0.9839857,0,Western
FIN,-3.9947436,1.1041422,0,Western
FRA,0.1457729,7.079354,2,Southern
GBR,0.32966372,2.247751,0,Western
GEO,-1.1939757,-0.7125443,0,Western
GGY,3.4543655,4.7179956,2,Southern
GRC,-2.4466782,3.3112605,0,Western
GTM,4.8508587,1.0449764,2,Southern
GUM,-2.2409928,6.394263,0,Western
HKG,-2.3346214,-6.447478,1,Eastern
HND,5.8968873,-2.6370537,2,Southern
HRV,-0.82706976,4.048017,0,Western
HUN,1.1347467,5.3745747,2,Southern
IDN,-0.5365595,-4.6505313,1,Eastern
IMN,-5.901355,4.021109,0,Western
IND,-3.7368343,-2.7775934,1,Eastern
IRL,-0.43190303,2.3358817,0,Western
IRN,-1.4972833,-2.0003362,1,Eastern
IRQ,1.6892779,-2.2875173,0,Western
ISL,-3.0645368,2.5234804,0,Western
ISR,1.8550048,-2.339483,0,Western
ITA,0.10325263,4.6679482,0,Western
JAM,0.9185068,6.495248,0,Western
JEY,2.7245767,1.9082627,0,Western
JOR,-3.9512405,-4.111998,1,Eastern
JPN,-3.2614095,-6.95417,1,Eastern
KAZ,-1.3288696,-1.2530929,0,Western
KEN,-4.826456,4.3302283,0,Western
KGZ,-4.6307483,0.12885629,0,Western
KHM,-0.74655575,-5.981274,1,Eastern
KOR,-3.8285844,-5.6284323,1,Eastern
KWT,-2.1980932,-4.6283445,1,Eastern
LBN,-2.7190468,-3.167467,1,Eastern
