UserCountry3,Country,utilitarian,law_preference,Cluster,Cluster_Name,is_highlight,label,quadrant
AFG,Afghanistan,0.466343107427005,0.300033835222466,0,Western,False,,Q3: 低效益+低守法
AGO,Angola,0.462462538776476,0.361607879055695,0,Western,False,,Q2: 低效益+高守法
ALB,Albania,0.514452805178842,0.345108361304324,0,Western,False,,Q4: 高效益+低守法
AND,Andorra,0.516630565554177,0.41126740079071,1,Eastern,False,,Q1: 高效益+高守法
ARE,United Arab Emirates,0.522103731550861,0.357703654372505,1,Eastern,False,,Q1: 高效益+高守法
ARG,Argentina,0.499997225775326,0.344230187273617,2,Southern,False,,Q4: 高效益+低守法
ARM,Armenia,0.481638383099479,0.357947108590501,1,Eastern,False,,Q2: 低效益+高守法
AUS,Australia,0.526965748796725,0.330606997877711,0,Western,False,,Q4: 高效益+低守法
AUT,Austria,0.514023636745183,0.371251614264882,0,Western,False,,Q1: 高效益+高守法
AZE,Azerbaijan,0.454144394398984,0.255895822873925,2,Southern,False,,Q3: 低效益+低守法
BEL,Belgium,0.510652489826104,0.376078636616436,0,Western,False,,Q1: 高效益+高守法
BGD,Bangladesh,0.499592007354435,0.351396948023094,0,Western,False,,Q4: 高效益+低守法
BGR,Bulgaria,0.509020969395077,0.344263717466431,0,Western,False,,Q4: 高效益+低守法
BHR,Bahrain,0.400706378189721,0.427192816632689,1,Eastern,False,,Q2: 低效益+高守法
BHS,Bahamas,0.535960962462601,0.277794862676651,2,Southern,False,,Q4: 高效益+低守法
BIH,Bosnia and Herzegovina,0.526555288558403,0.361721257041398,0,Western,False,,Q1: 高效益+高守法
BLR,Belarus,0.466647169269159,0.347728409809547,0,Western,False,,Q3: 低效益+低守法
BOL,Bolivia,0.507085619512401,0.31679854110072,2,Southern,False,,Q4: 高效益+低守法
BRA,Brazil,0.474318205179731,0.366954132595629,0,Western,True,巴西,Q2: 低效益+高守法
BRB,Barbados,0.485292954518621,0.277655387975674,0,Western,False,,Q3: 低效益+低守法
BRN,Brunei,0.398628280497862,0.472847768919288,1,Eastern,False,,Q2: 低效益+高守法
CAN,Canada,0.533800222179554,0.335172447013339,0,Western,False,,Q4: 高效益+低守法
CHE,Switzerland,0.500104476527604,0.373057304632235,0,Western,False,,Q1: 高效益+高守法
CHL,Chile,0.489847306588551,0.377314194623591,2,Southern,False,,Q2: 低效益+高守法
CHN,China,0.422984740991583,0.396378484280349,1,Eastern,True,中國,Q2: 低效益+高守法
COL,Colombia,0.516067655573225,0.338270320511435,2,Southern,False,,Q4: 高效益+低守法
CRI,Costa Rica,0.49371736370412,0.343707120360816,2,Southern,False,,Q4: 高效益+低守法
CYP,Cyprus,0.501369551137722,0.352658500170263,0,Western,False,,Q1: 高效益+高守法
CZE,Czechia,0.531492760394217,0.37703378403097,2,Southern,False,,Q1: 高效益+高守法
DEU,Germany,0.502871504134362,0.358406251354378,0,Western,True,德國,Q1: 高效益+高守法
DNK,Denmark,0.511060425256931,0.377120715797084,0,Western,False,,Q1: 高效益+高守法
DOM,Dominican Republic,0.528576034200131,0.377845907175501,2,Southern,False,,Q1: 高效益+高守法
DZA,Algeria,0.477294252908081,0.383791175868957,2,Southern,False,,Q2: 低效益+高守法
